time,x,y
0,0.6675,0.315
1,0.66875,0.3025
2,0.66875,0.29125
3,0.665,0.28
4,0.6525,0.26875
5,0.6275,0.2525
6,0.59125,0.24375
7,0.55,0.23875
8,0.49625,0.23625
9,0.445,0.23625
10,0.36375,0.24625
11,0.25625,0.29
12,0.25625,0.29
13,0.20125,0.3325
14,0.18375,0.36625
15,0.1825,0.39375
16,0.18875,0.41375
17,0.2,0.43
18,0.2125,0.44375
19,0.2175,0.45375
20,0.225,0.46125
21,0.225,0.46125
22,0.2275,0.465
23,0.23,0.46875
24,0.23125,0.47
25,0.23125,0.47125
26,0.23125,0.4725
27,0.23125,0.47375
28,0.23125,0.47375
29,0.23125,0.47625
30,0.23125,0.47625
31,0.23,0.47625
32,0.22,0.48125
33,0.22,0.48125
34,0.21125,0.48375
35,0.19875,0.48375
36,0.18125,0.47875
37,0.16875,0.465
38,0.1525,0.44625
39,0.1425,0.42875
40,0.13625,0.41875
41,0.13,0.39625
42,0.12875,0.35375
43,0.12875,0.31125
44,0.12875,0.265
45,0.12875,0.24375
46,0.12875,0.22
47,0.135,0.20375
48,0.14125,0.19625
49,0.15,0.19
50,0.16375,0.18625
51,0.18,0.18625
52,0.20875,0.18625
53,0.23875,0.19375
54,0.27625,0.21
55,0.3175,0.22875
56,0.35875,0.2475
57,0.39625,0.27375
58,0.42625,0.3
59,0.44875,0.3275
60,0.465,0.35125
61,0.4775,0.37375
62,0.485,0.385
63,0.485,0.385
64,0.4975,0.39375
65,0.4975,0.39375
66,0.50625,0.395
67,0.5475,0.39125
68,0.5775,0.38125
69,0.6275,0.36125
70,0.65875,0.34375
71,0.71875,0.30625
72,0.7525,0.275
73,0.78125,0.24375
74,0.79625,0.225
75,0.81125,0.20375
76,0.82,0.19125
77,0.82625,0.17875
78,0.83375,0.16125
79,0.84125,0.1425
80,0.845,0.13
81,0.85,0.1175
82,0.85375,0.105
83,0.855,0.1
84,0.86,0.09375
85,0.865,0.085
86,0.87375,0.07375
87,0.87875,0.0675
88,0.87875,0.0675
89,0.895,0.0525
90,0.9,0.04875
91,0.905,0.04625
92,0.90875,0.04375
93,0.9125,0.0425
94,0.915,0.04
95,0.915,0.04
96,0.91625,0.0375
97,0.92,0.0375
98,0.9225,0.03625
99,0.9225,0.03625
100,0.9225,0.03625
101,0.9225,0.03625
102,0.9225,0.03625
103,0.9225,0.03625
104,0.9225,0.03625
105,0.9225,0.03625
106,0.9225,0.03625
107,0.9225,0.03625
108,0.9225,0.03625
109,0.9225,0.03625
110,0.9225,0.03625
111,0.9225,0.03625
112,0.9225,0.03625
113,0.9225,0.03625
114,0.9225,0.03625
115,0.9225,0.03625
116,0.9225,0.05125
117,0.9225,0.08875
118,0.92125,0.1325
119,0.91625,0.19125
120,0.90875,0.23625
121,0.9,0.27875
122,0.89,0.3275
123,0.88,0.3775
124,0.87375,0.41375
125,0.86625,0.47625
126,0.85625,0.5275
127,0.84375,0.57875
128,0.82125,0.665
129,0.81625,0.68125
130,0.80875,0.7
131,0.805,0.7075
132,0.805,0.7075
133,0.79875,0.71875
134,0.78375,0.745
135,0.78125,0.75
136,0.7625,0.7675
137,0.7625,0.7675
138,0.74,0.7775
139,0.7075,0.78375
140,0.66,0.79125
141,0.56625,0.8
142,0.46375,0.81125
143,0.3375,0.83
144,0.20625,0.84875
145,0.13,0.86
146,0.03875,0.87125
147,0.03875,0.87125
148,0.03875,0.87125
149,0.03875,0.87125
150,0.03875,0.87125
151,0.03875,0.87125
152,0.03875,0.87125
153,0.03875,0.87125
154,0.03875,0.87125
155,0.03875,0.87125
156,0.03875,0.87125
157,0.03875,0.87125
158,0.03875,0.87125
159,0.03875,0.87125
160,0.03875,0.87125
161,0.03875,0.87125
162,0.03875,0.87125
163,0.03875,0.87125
164,0.03875,0.87125
165,0.03875,0.87125
166,0.03875,0.87125
167,0.03875,0.87125
168,0.03875,0.87125
169,0.01,0.93125
170,0.02,0.93625
171,0.0275,0.94
172,0.0375,0.94375
173,0.0475,0.94625
174,0.0575,0.94875
175,0.07,0.94875
176,0.0975,0.94625
177,0.145,0.9275
178,0.20125,0.89875
179,0.27375,0.8625
180,0.345,0.82875
181,0.3975,0.805
182,0.47375,0.7725
183,0.59,0.71875
184,0.61,0.70875
185,0.69125,0.65375
186,0.705,0.6325
187,0.7225,0.59
188,0.735,0.5425
189,0.735,0.5425
190,0.74375,0.51375
191,0.74375,0.51375
192,0.75375,0.4925
193,0.75875,0.47875
194,0.765,0.45625
195,0.77,0.42875
196,0.7725,0.40375
197,0.7725,0.38625
198,0.77125,0.36625
199,0.76125,0.34125
200,0.74375,0.31625
201,0.715,0.28625
202,0.66625,0.24125
203,0.66625,0.24125
204,0.6125,0.19875
205,0.54,0.15125
206,0.475,0.11875
207,0.4,0.095
208,0.32625,0.08875
209,0.26125,0.08875
210,0.22375,0.08875
211,0.2,0.09375
212,0.18,0.0975
213,0.17125,0.10125
214,0.165,0.10375
215,0.1625,0.105
216,0.16125,0.10625
217,0.16,0.1075
218,0.16,0.1075
219,0.16,0.1075
220,0.15875,0.1075
221,0.155,0.1075
222,0.15,0.10625
223,0.14375,0.10375
224,0.13875,0.10125
225,0.1325,0.0975
226,0.12875,0.095
227,0.125,0.0925
228,0.12375,0.09125
229,0.12375,0.09125
230,0.12375,0.09125
231,0.12375,0.0925
232,0.1325,0.0975
233,0.145,0.10375
234,0.17,0.115
235,0.2,0.13125
236,0.23375,0.15
237,0.27125,0.1725
238,0.3075,0.19625
239,0.39,0.255
240,0.43625,0.2875
241,0.46875,0.31
242,0.46875,0.31
243,0.46875,0.31
244,0.46875,0.31
245,0.46875,0.31
246,0.46875,0.31
247,0.46875,0.31
248,0.46875,0.31
249,0.46875,0.31
250,0.46875,0.31
251,0.46875,0.31
252,0.46875,0.31
253,0.46875,0.31
254,0.46875,0.31
255,0.46875,0.31
256,0.46875,0.31125
257,0.485,0.34
258,0.51375,0.38375
259,0.55625,0.435
260,0.58875,0.4775
261,0.625,0.525
262,0.6575,0.56875
263,0.67625,0.5975
264,0.67625,0.5975
265,0.6875,0.62
266,0.69125,0.63375
267,0.69125,0.64625
268,0.6875,0.66375
269,0.6875,0.66375
270,0.67375,0.675
271,0.65125,0.69125
272,0.6225,0.70875
273,0.59125,0.72625
274,0.56875,0.73375
275,0.54,0.74375
276,0.51125,0.7475
277,0.46375,0.7525
278,0.41625,0.755
279,0.3875,0.755
280,0.365,0.755
281,0.35,0.75125
282,0.34375,0.74875
283,0.3425,0.74625
284,0.34125,0.74625
285,0.34125,0.745
286,0.34125,0.745
287,0.34125,0.745
288,0.34125,0.745
289,0.34125,0.745
290,0.34125,0.745
291,0.34125,0.745
292,0.34125,0.745
293,0.34125,0.745
294,0.34125,0.745
295,0.34125,0.745
296,0.34125,0.745
297,0.34125,0.745
298,0.34125,0.745
299,0.34125,0.745
300,0.34125,0.745
301,0.34125,0.745
302,0.34125,0.745
303,0.34125,0.745
304,0.34125,0.745
305,0.34125,0.745
306,0.34125,0.745
307,0.34125,0.745
308,0.34125,0.745
309,0.34125,0.745
310,0.34125,0.745
311,0.34125,0.745
312,0.34125,0.745
313,0.34125,0.745
314,0.34125,0.745
315,0.34125,0.745
316,0.34125,0.745
317,0.34125,0.74375
318,0.34125,0.72625
319,0.34125,0.69
320,0.34125,0.62
321,0.34125,0.54125
322,0.34875,0.4975
323,0.36375,0.43
324,0.37125,0.4025
325,0.38,0.375
326,0.38625,0.36125
327,0.39,0.34875
328,0.39375,0.34
329,0.3975,0.3325
330,0.40375,0.32625
331,0.41125,0.32
332,0.42625,0.31375
333,0.44,0.30875
334,0.455,0.3075
335,0.47125,0.3075
336,0.49625,0.31
337,0.525,0.3325
338,0.5575,0.365
339,0.59,0.4025
340,0.6175,0.43875
341,0.6425,0.47375
342,0.665,0.50875
343,0.68125,0.5425
