time,x,y
0,0.66625,0.58125
1,0.74625,0.56375
2,0.78875,0.5525
3,0.82,0.5425
4,0.8425,0.5375
5,0.86625,0.53
6,0.8825,0.52625
7,0.88625,0.52625
8,0.88375,0.52625
9,0.8725,0.53125
10,0.84625,0.54625
11,0.79125,0.575
12,0.71625,0.60875
13,0.64625,0.6325
14,0.52,0.67
15,0.4525,0.68125
16,0.365,0.69625
17,0.315,0.70125
18,0.28125,0.70375
19,0.26875,0.705
20,0.2525,0.705
21,0.23625,0.705
22,0.22875,0.705
23,0.22,0.705
24,0.21375,0.7025
25,0.21,0.69875
26,0.20875,0.6925
27,0.20875,0.6875
28,0.2075,0.67625
29,0.2075,0.64
30,0.20625,0.59
31,0.205,0.52625
32,0.205,0.45625
33,0.205,0.42625
34,0.20625,0.40125
35,0.21375,0.38125
36,0.22125,0.37125
37,0.2325,0.3625
38,0.24375,0.35
39,0.25625,0.33875
40,0.26625,0.3325
41,0.28,0.32625
42,0.3025,0.3225
43,0.335,0.32
44,0.38125,0.31875
45,0.4375,0.31875
46,0.4375,0.31875
47,0.49,0.31875
48,0.5325,0.32625
49,0.56875,0.3375
50,0.595,0.34875
51,0.62875,0.365
52,0.655,0.38125
53,0.6725,0.395
54,0.69,0.4125
55,0.7025,0.42625
56,0.71125,0.435
57,0.7175,0.44375
58,0.72125,0.45
59,0.725,0.4575
60,0.73125,0.46375
61,0.73875,0.475
62,0.75,0.49
63,0.76125,0.505
64,0.78125,0.52625
65,0.78125,0.52625
66,0.78125,0.52625
67,0.78125,0.52625
68,0.78125,0.52625
69,0.78125,0.52625
70,0.78125,0.52625
71,0.78125,0.52625
72,0.78125,0.52625
73,0.78125,0.52625
74,0.78125,0.52625
75,0.78125,0.52625
76,0.78125,0.52625
77,0.78125,0.52625
78,0.78125,0.52625
79,0.77375,0.53125
80,0.74,0.55875
81,0.68875,0.6
82,0.62875,0.64625
83,0.54125,0.715
84,0.49375,0.7425
85,0.4425,0.76875
86,0.39625,0.785
87,0.3575,0.795
88,0.325,0.80125
89,0.27875,0.80625
90,0.25125,0.80625
91,0.25125,0.80625
92,0.19125,0.80125
93,0.19125,0.80125
94,0.17625,0.7925
95,0.16875,0.7875
96,0.16,0.77625
97,0.15625,0.76375
98,0.14875,0.7325
99,0.14375,0.6925
100,0.14125,0.645
101,0.14125,0.60875
102,0.15375,0.56625
103,0.17625,0.54125
104,0.23,0.505
105,0.29625,0.4675
106,0.37875,0.4325
107,0.455,0.4075
108,0.5425,0.39
109,0.61625,0.38
110,0.68625,0.38
111,0.7275,0.38
112,0.75625,0.37875
113,0.785,0.3775
114,0.79625,0.37375
115,0.8,0.3725
116,0.805,0.37
117,0.8125,0.36875
118,0.81625,0.36875
119,0.81875,0.36875
120,0.82,0.36875
121,0.81875,0.3825
122,0.7675,0.455
123,0.72375,0.5175
124,0.69125,0.565
125,0.6525,0.61375
126,0.6225,0.65375
127,0.5875,0.7025
128,0.5625,0.735
129,0.53625,0.7775
130,0.5225,0.8
131,0.51125,0.81875
132,0.5025,0.83125
133,0.5,0.83375
134,0.49875,0.83625
135,0.49875,0.8375
136,0.49875,0.8375
137,0.49875,0.8375
138,0.50625,0.8375
139,0.53,0.83625
140,0.5625,0.8275
141,0.6025,0.8175
142,0.6525,0.80625
143,0.70875,0.7875
144,0.7675,0.77
145,0.805,0.755
146,0.8275,0.7475
147,0.84375,0.74
148,0.85375,0.73625
149,0.85875,0.7325
150,0.86,0.73
151,0.86125,0.72875
152,0.8625,0.7275
153,0.8625,0.72625
154,0.8625,0.72375
155,0.8625,0.72375
156,0.8625,0.72375
157,0.8625,0.71875
158,0.8575,0.69375
159,0.8575,0.69375
160,0.8525,0.6775
161,0.84375,0.66125
162,0.8325,0.63875
163,0.80875,0.59
164,0.7775,0.52375
165,0.73875,0.435
166,0.71375,0.37125
167,0.695,0.3275
168,0.67625,0.29375
169,0.6325,0.26
170,0.59375,0.25625
171,0.545,0.25625
172,0.5,0.26625
173,0.475,0.2775
174,0.45125,0.28875
175,0.43375,0.3025
176,0.415,0.31875
177,0.37625,0.375
178,0.3375,0.44125
179,0.31875,0.46875
180,0.30375,0.48625
181,0.2975,0.49625
182,0.2925,0.5025
183,0.28375,0.52125
184,0.28375,0.52125
185,0.28375,0.52125
186,0.28375,0.52125
187,0.28375,0.52125
188,0.28375,0.52125
189,0.28375,0.52125
190,0.28375,0.52125
191,0.28375,0.52125
192,0.28375,0.52125
193,0.28375,0.52125
194,0.28375,0.52125
195,0.28375,0.52125
196,0.28375,0.52125
197,0.28375,0.52125
198,0.28375,0.52125
199,0.28375,0.52125
200,0.28375,0.52125
201,0.28375,0.52125
202,0.28375,0.52125
203,0.28375,0.52125
204,0.28375,0.52125
205,0.28375,0.52125
206,0.28375,0.52125
207,0.28375,0.52125
208,0.28375,0.52125
209,0.28375,0.52125
210,0.28375,0.52125
211,0.28375,0.52125
212,0.28375,0.52125
213,0.28375,0.52125
214,0.2825,0.51875
215,0.28125,0.515
216,0.27375,0.50375
217,0.26,0.48375
218,0.24125,0.46
219,0.21625,0.4325
220,0.2,0.41
221,0.19375,0.3975
222,0.18625,0.3875
223,0.18375,0.38125
224,0.1825,0.38
225,0.1825,0.38
226,0.1825,0.38
227,0.1825,0.38
228,0.1825,0.38
229,0.1825,0.38
230,0.1825,0.37875
231,0.18125,0.3775
232,0.18125,0.37625
233,0.1775,0.37125
234,0.17375,0.3675
235,0.16625,0.36
236,0.1575,0.3525
237,0.15,0.3475
238,0.145,0.3425
239,0.14125,0.33875
240,0.14,0.33625
241,0.13875,0.335
242,0.13875,0.33125
243,0.13875,0.33
244,0.13875,0.33
245,0.13875,0.33
246,0.13875,0.33
247,0.13875,0.33
248,0.13875,0.33
249,0.13875,0.33
250,0.13875,0.33
251,0.13875,0.32875
252,0.13875,0.32875
253,0.1375,0.32875
254,0.1375,0.32875
255,0.1375,0.32875
256,0.1375,0.32875
257,0.1375,0.3275
258,0.1375,0.3275
259,0.1375,0.32625
260,0.1375,0.32625
261,0.1375,0.325
262,0.1375,0.325
263,0.1375,0.325
264,0.13875,0.325
265,0.14125,0.325
266,0.1425,0.325
267,0.145,0.325
268,0.1475,0.325
269,0.14875,0.325
270,0.15125,0.325
271,0.1525,0.325
272,0.15375,0.32625
273,0.155,0.32625
274,0.15625,0.3275
275,0.15625,0.32875
276,0.15625,0.32875
277,0.1575,0.32875
278,0.1575,0.33
279,0.15875,0.3325
280,0.15875,0.335
281,0.15875,0.33625
282,0.15875,0.33625
283,0.16,0.3375
284,0.16,0.3375
285,0.16,0.33875
286,0.16,0.33875
287,0.16,0.34
288,0.16125,0.34
289,0.16125,0.34125
290,0.16125,0.3425
291,0.1625,0.34375
292,0.16375,0.345
293,0.16375,0.34625
294,0.165,0.3475
295,0.165,0.34875
296,0.16625,0.34875
297,0.1675,0.35
298,0.1675,0.35125
299,0.1675,0.3525
300,0.1675,0.3525
301,0.17,0.355
302,0.17,0.355
303,0.17,0.35625
304,0.17125,0.3575
305,0.17125,0.35875
306,0.1725,0.36
307,0.1725,0.36125
308,0.1725,0.3625
309,0.1725,0.36375
310,0.17375,0.36375
311,0.17375,0.365
312,0.175,0.36625
313,0.175,0.3675
314,0.175,0.36875
315,0.17625,0.37
316,0.17625,0.37125
317,0.1775,0.3725
318,0.1775,0.37375
319,0.1775,0.375
320,0.17875,0.3775
321,0.17875,0.38
322,0.17875,0.38
323,0.1825,0.3825
324,0.1825,0.3825
325,0.1825,0.385
326,0.1825,0.385
327,0.18375,0.38625
328,0.18375,0.3875
329,0.185,0.38875
330,0.185,0.39
331,0.18625,0.39
332,0.18625,0.39125
333,0.18625,0.3925
334,0.1875,0.395
335,0.18875,0.395
336,0.18875,0.3975
337,0.18875,0.39875
338,0.19125,0.4
339,0.19125,0.40125
340,0.19125,0.40375
341,0.1925,0.405
342,0.1925,0.40625
343,0.1925,0.40875
344,0.19375,0.41
345,0.195,0.41125
346,0.195,0.4125
347,0.195,0.415
348,0.19625,0.41875
349,0.1975,0.42125
350,0.1975,0.4225
351,0.1975,0.42375
352,0.1975,0.425
353,0.19875,0.4275
354,0.19875,0.42875
355,0.2,0.42875
356,0.2,0.42875
357,0.2,0.43
358,0.2,0.43125
359,0.2,0.4325
360,0.20125,0.4325
361,0.20125,0.43375
362,0.20125,0.435
363,0.2025,0.435
364,0.2025,0.43625
365,0.2025,0.43625
366,0.2025,0.4375
367,0.2025,0.43875
368,0.2025,0.44
369,0.20375,0.44
370,0.20375,0.4425
371,0.20375,0.44375
372,0.205,0.44625
373,0.205,0.4475
374,0.205,0.45
375,0.205,0.45125
376,0.20625,0.45375
377,0.20625,0.455
378,0.20625,0.45875
379,0.20625,0.46
380,0.20625,0.4625
381,0.2075,0.46375
382,0.2075,0.46625
383,0.2075,0.4675
384,0.2075,0.47
385,0.2075,0.4725
386,0.2075,0.47375
387,0.20875,0.47625
388,0.20875,0.47875
389,0.20875,0.47875
390,0.20875,0.48
391,0.20875,0.48125
392,0.20875,0.48375
393,0.20875,0.485
394,0.20875,0.48625
395,0.20875,0.4875
396,0.21,0.49
397,0.21,0.49125
398,0.21,0.49375
399,0.21,0.495
400,0.21125,0.4975
401,0.21125,0.49875
402,0.21125,0.50125
403,0.21125,0.5025
404,0.21125,0.505
405,0.21375,0.50875
406,0.21375,0.51125
407,0.215,0.515
408,0.215,0.5175
409,0.21625,0.52
410,0.21625,0.52125
411,0.2175,0.52375
412,0.21875,0.525
413,0.21875,0.5275
414,0.21875,0.52875
415,0.21875,0.53125
416,0.22,0.53125
417,0.22,0.5325
418,0.22125,0.53375
419,0.22375,0.535
420,0.22375,0.53625
421,0.225,0.53625
422,0.22625,0.53625
423,0.2275,0.53625
424,0.22875,0.53625
425,0.23,0.53625
426,0.23125,0.53625
427,0.23125,0.53625
428,0.2325,0.53625
429,0.23375,0.53625
430,0.235,0.53625
431,0.23625,0.53625
432,0.2375,0.53625
433,0.23875,0.53625
434,0.24,0.53625
435,0.24125,0.53625
436,0.2425,0.53625
437,0.24375,0.53625
438,0.245,0.53625
439,0.24625,0.53625
440,0.2475,0.53625
441,0.2475,0.53625
442,0.2475,0.53625
443,0.24875,0.53625
444,0.25,0.53625
445,0.25125,0.53625
446,0.2525,0.5375
447,0.25625,0.5375
448,0.25625,0.5375
449,0.25875,0.5375
450,0.26,0.5375
451,0.26125,0.53875
452,0.2625,0.53875
453,0.26625,0.53875
454,0.26625,0.53875
455,0.2675,0.53875
456,0.26875,0.53875
457,0.26875,0.53875
458,0.27,0.54125
459,0.27125,0.54125
460,0.2725,0.5425
461,0.27375,0.5425
462,0.27625,0.54375
463,0.2775,0.545
464,0.27875,0.54625
465,0.2825,0.5475
466,0.28375,0.54875
467,0.28625,0.55
468,0.2875,0.5525
469,0.28875,0.55375
470,0.29,0.555
471,0.29125,0.55625
472,0.29375,0.55875
473,0.29625,0.56
474,0.29625,0.5625
475,0.29875,0.56375
476,0.3,0.565
477,0.3,0.56625
478,0.3025,0.56625
479,0.3025,0.5675
480,0.30625,0.57
