time,x,y
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.24875,0.46625
21,0.23,0.46625
22,0.18875,0.4725
23,0.13,0.47875
24,0.05875,0.4825
25,0.01625,0.4825
26,0.01625,0.4825
27,0.01625,0.4825
28,0.05,0.35625
29,0.3675,0.2175
30,0.695,0.19
31,0.83625,0.19875
32,0.9075,0.21875
33,0.97625,0.25
34,0.97625,0.25
35,0.99875,0.26625
36,0.99875,0.26625
37,0.99875,0.26625
38,0.99875,0.26625
39,0.9875,0.35875
40,0.96625,0.37625
41,0.96625,0.37625
42,0.9425,0.3975
43,0.91375,0.42
44,0.88625,0.4425
45,0.86625,0.45875
46,0.845,0.47875
47,0.82625,0.49375
48,0.80625,0.51
49,0.7775,0.52625
50,0.74375,0.53625
51,0.695,0.53875
52,0.63875,0.53875
53,0.58,0.535
54,0.51875,0.52125
55,0.46125,0.5075
56,0.42,0.5025
57,0.375,0.4975
58,0.3475,0.495
59,0.33875,0.49375
60,0.3325,0.49125
61,0.32875,0.4875
62,0.32875,0.48
63,0.32875,0.46125
64,0.3425,0.4325
65,0.3625,0.3975
66,0.38,0.37125
67,0.39625,0.3425
68,0.41,0.3225
69,0.41625,0.31375
70,0.42125,0.30625
71,0.425,0.3025
72,0.42625,0.30125
73,0.42625,0.30125
74,0.4275,0.30125
75,0.4275,0.3
76,0.4275,0.29875
77,0.4275,0.295
78,0.4275,0.285
79,0.4275,0.27125
80,0.4275,0.25125
81,0.4275,0.22375
82,0.4275,0.21125
83,0.43,0.1825
84,0.4325,0.15375
85,0.43625,0.11
86,0.43625,0.10125
87,0.43625,0.0875
88,0.43125,0.08375
89,0.42375,0.08125
90,0.41375,0.08125
91,0.3675,0.08375
92,0.33625,0.09875
93,0.2775,0.13625
94,0.2775,0.13625
95,0.23,0.17625
96,0.19625,0.21375
97,0.1525,0.27125
98,0.1175,0.3225
99,0.0875,0.36375
100,0.06125,0.40125
101,0.04375,0.42375
102,0.02375,0.445
103,0.015,0.45125
104,0.01,0.45625
105,0.0075,0.4575
106,0.0075,0.4575
107,0.0075,0.45375
108,0.02,0.44
109,0.03875,0.42
110,0.0625,0.395
111,0.1125,0.35625
112,0.17,0.31875
113,0.22,0.285
114,0.27625,0.24625
115,0.3275,0.21125
116,0.3625,0.18875
117,0.385,0.17375
118,0.4,0.1625
119,0.4075,0.15625
120,0.40875,0.15375
121,0.40875,0.15375
122,0.40875,0.15375
123,0.40875,0.15375
124,0.40875,0.15375
125,0.40875,0.15375
126,0.40875,0.15375
127,0.40875,0.15375
128,0.41125,0.15375
129,0.42125,0.15375
130,0.43875,0.15125
131,0.45375,0.15
132,0.475,0.15
133,0.4875,0.155
134,0.4925,0.1975
135,0.475,0.28625
136,0.4525,0.36125
137,0.435,0.415
138,0.42875,0.44875
139,0.4225,0.4875
140,0.43875,0.51375
141,0.4975,0.5275
142,0.55125,0.53625
143,0.7075,0.595
144,0.7325,0.6425
145,0.75125,0.71
146,0.75875,0.76
147,0.75875,0.805
148,0.75875,0.83
149,0.74375,0.8425
150,0.72375,0.85125
151,0.695,0.85625
152,0.66625,0.86
153,0.6375,0.86
154,0.6175,0.85875
155,0.6025,0.8475
156,0.58875,0.82125
157,0.5875,0.77875
158,0.59125,0.745
159,0.60625,0.7175
160,0.615,0.7075
161,0.625,0.7025
162,0.63125,0.7025
163,0.63875,0.73625
164,0.6275,0.79375
165,0.59125,0.83
166,0.4725,0.87
167,0.3625,0.84625
168,0.23625,0.75375
169,0.115,0.62625
170,0.0075,0.4625
171,0.0075,0.4625
172,0.0075,0.4625
173,0.0075,0.4625
174,0.0075,0.4625
175,0.0075,0.4625
176,0.0075,0.4625
177,0.07625,0.1325
178,0.16,0.1275
179,0.2325,0.1275
180,0.26625,0.13875
181,0.28125,0.15125
182,0.29375,0.1725
183,0.29375,0.205
184,0.27,0.2225
185,0.24375,0.24125
186,0.215,0.2525
187,0.20125,0.25375
188,0.20125,0.25375
189,0.19,0.2525
190,0.19,0.22875
191,0.21,0.19
192,0.24625,0.135
193,0.27625,0.095
194,0.29875,0.05875
195,0.31125,0.03625
196,0.32125,0.01875
197,0.32625,0.01125
198,0.3375,0.01
199,0.3375,0.01
200,0.41,0.04
201,0.51,0.11875
202,0.575,0.1675
203,0.62,0.2
204,0.655,0.225
205,0.67375,0.23875
206,0.68875,0.2475
207,0.695,0.25125
208,0.6975,0.2525
209,0.69875,0.2525
210,0.70375,0.24875
211,0.71,0.2425
212,0.715,0.2375
213,0.72,0.2325
214,0.7225,0.23
215,0.72375,0.23
216,0.72375,0.23
217,0.72375,0.22875
218,0.7275,0.2275
219,0.73375,0.225
220,0.74375,0.21875
221,0.76,0.205
222,0.78,0.18875
223,0.78,0.18875
224,0.80125,0.16875
225,0.82125,0.1475
226,0.83,0.13875
227,0.83,0.13875
228,0.83,0.13875
229,0.83,0.13875
230,0.83,0.13875
231,0.83,0.13875
232,0.83,0.13875
233,0.83,0.13875
234,0.83,0.13875
235,0.83,0.13875
236,0.83,0.13875
237,0.83,0.13875
238,0.82875,0.13875
239,0.8025,0.13875
240,0.7675,0.1475
241,0.7325,0.15625
242,0.66875,0.17375
243,0.56,0.205
244,0.425,0.2425
245,0.29,0.28375
246,0.1825,0.31875
247,0.12,0.34125
248,0.04875,0.36625
249,0.04875,0.36625
250,0.04875,0.36625
251,0.04875,0.36625
252,0.04875,0.36625
253,0.04875,0.36625
254,0.04875,0.36625
255,0.04875,0.36625
256,0.04875,0.36625
257,0.04875,0.36625
258,0.04875,0.36625
259,0.04875,0.36625
260,0.04875,0.36625
261,0.04875,0.36625
262,0.04875,0.36625
263,0.04875,0.36625
264,0.04875,0.36625
265,0.04875,0.36625
266,0.04875,0.36625
267,0.04875,0.36625
268,0.00625,0.44375
269,0.09375,0.45875
270,0.2025,0.465
271,0.32125,0.47
272,0.39375,0.47
273,0.47125,0.47
274,0.51125,0.4675
275,0.54,0.46125
276,0.55125,0.4575
277,0.5625,0.455
278,0.5675,0.45125
279,0.57,0.45
280,0.57125,0.44875
281,0.5725,0.4475
282,0.575,0.44625
283,0.5825,0.44375
284,0.59125,0.44
285,0.61,0.43125
286,0.635,0.42375
287,0.67375,0.4125
288,0.73,0.39875
289,0.73,0.39875
290,0.8325,0.3825
291,0.8325,0.3825
292,0.87125,0.37875
293,0.90375,0.3775
294,0.9275,0.3775
295,0.9475,0.3775
296,0.9575,0.3775
297,0.96625,0.3775
298,0.97,0.37875
299,0.9725,0.38125
300,0.97375,0.3825
301,0.97375,0.38875
302,0.97375,0.3975
303,0.96125,0.425
304,0.925,0.4725
305,0.8575,0.5425
306,0.78625,0.61625
307,0.745,0.6575
308,0.7025,0.7
309,0.65875,0.74875
310,0.62125,0.7875
311,0.56875,0.8275
312,0.46625,0.88375
313,0.4125,0.905
314,0.30125,0.95125
315,0.2475,0.97625
316,0.23,0.98375
317,0.225,0.99
318,0.22125,0.995
319,0.22,0.99625
320,0.22,0.99875
321,0.2225,0.99875
322,0.25125,0.99375
323,0.315,0.965
324,0.4125,0.9225
325,0.51875,0.88
326,0.51875,0.88
327,0.62625,0.8425
328,0.7325,0.815
329,0.7325,0.815
330,0.7725,0.805
331,0.7725,0.805
332,0.78,0.8025
333,0.78125,0.8025
334,0.7825,0.8025
335,0.78375,0.8025
336,0.785,0.8025
337,0.79375,0.8025
338,0.80375,0.8025
339,0.81375,0.80125
340,0.8275,0.79625
341,0.8475,0.78375
342,0.8625,0.77125
343,0.8725,0.7625
344,0.88125,0.755
345,0.88375,0.75125
346,0.87375,0.75125
347,0.81375,0.76
348,0.665,0.8
349,0.5525,0.825
350,0.39875,0.84125
351,0.25875,0.84375
352,0.25875,0.84375
353,0.13375,0.8075
354,0.0675,0.7675
355,0.0,0.66125
356,0.0,0.66125
357,0.0,0.58
358,0.07,0.455
359,0.16625,0.325
360,0.225,0.2375
361,0.255,0.17625
362,0.26125,0.11125
363,0.1925,0.0525
364,0.05125,0.01125
365,0.05125,0.01125
366,0.05125,0.01125
367,0.05125,0.01125
368,0.05125,0.01125
369,0.05125,0.01125
370,0.05125,0.01125
371,0.05125,0.01125
