time,x,y
0,0.2425,0.52625
1,0.25,0.55375
2,0.2575,0.57625
3,0.26625,0.6
4,0.27125,0.61625
5,0.275,0.62875
6,0.2775,0.63875
7,0.2775,0.64625
8,0.2775,0.6525
9,0.2775,0.6525
10,0.2775,0.665
11,0.2775,0.665
12,0.2775,0.67
13,0.2775,0.675
14,0.2775,0.68
15,0.27625,0.6825
16,0.27625,0.685
17,0.27625,0.68625
18,0.27625,0.6875
19,0.27625,0.68875
20,0.27625,0.69
21,0.27875,0.69
22,0.2875,0.69
23,0.2975,0.69
24,0.30875,0.685
25,0.3225,0.67875
26,0.32875,0.675
27,0.3325,0.67125
28,0.335,0.66875
29,0.335,0.66625
30,0.335,0.66625
31,0.335,0.66625
32,0.335,0.66625
33,0.335,0.66625
34,0.335,0.66625
35,0.33375,0.66625
36,0.33375,0.66625
37,0.315,0.66875
38,0.315,0.66875
39,0.30375,0.67125
40,0.28625,0.675
41,0.2625,0.6775
42,0.23875,0.67875
43,0.22125,0.67875
44,0.20875,0.67875
45,0.2025,0.68125
46,0.19875,0.68125
47,0.1975,0.68375
48,0.1975,0.68625
49,0.1975,0.69
50,0.2,0.74875
51,0.20875,0.78
52,0.22375,0.8375
53,0.22375,0.83875
54,0.22375,0.83875
55,0.22375,0.83875
56,0.22375,0.83875
57,0.22375,0.83875
58,0.22375,0.83875
59,0.22375,0.83875
60,0.22375,0.83875
61,0.22375,0.83875
62,0.23,0.83875
63,0.25125,0.835
64,0.28875,0.8225
65,0.36625,0.79375
66,0.435,0.7675
67,0.51,0.7375
68,0.5575,0.715
69,0.5575,0.715
70,0.61125,0.6875
71,0.65375,0.66
72,0.685,0.635
73,0.70875,0.61125
74,0.72375,0.5975
75,0.73875,0.57875
76,0.7525,0.56375
77,0.76375,0.55
78,0.77375,0.5375
79,0.78125,0.52625
80,0.78875,0.51625
81,0.7925,0.50875
82,0.795,0.50375
83,0.79625,0.5
84,0.7975,0.49875
85,0.7975,0.49625
86,0.79875,0.4925
87,0.79875,0.4875
88,0.79875,0.48125
89,0.79875,0.4725
90,0.79875,0.46375
91,0.7975,0.455
