time,x,y
0,0.5025,0.6075
1,0.5125,0.61
2,0.52375,0.61125
3,0.53375,0.6125
4,0.53375,0.6125
5,0.5425,0.61375
6,0.56,0.61375
7,0.56,0.61375
8,0.56625,0.61375
9,0.5725,0.615
10,0.57875,0.615
11,0.585,0.615
12,0.59375,0.615
13,0.60125,0.615
14,0.6075,0.615
15,0.61375,0.615
16,0.62,0.615
17,0.6275,0.615
18,0.635,0.615
19,0.64125,0.61375
20,0.655,0.61
21,0.6625,0.60875
22,0.66875,0.60625
23,0.675,0.605
24,0.6825,0.6025
25,0.69,0.60125
26,0.69,0.60125
27,0.695,0.59875
28,0.70125,0.595
29,0.70625,0.5925
30,0.71125,0.59
31,0.71625,0.58875
32,0.72,0.58625
33,0.7225,0.585
34,0.725,0.58375
35,0.7275,0.58125
36,0.73,0.57875
37,0.7325,0.5775
38,0.735,0.575
39,0.74125,0.57125
40,0.745,0.5675
41,0.75125,0.56125
42,0.7675,0.54875
43,0.7825,0.5325
44,0.80125,0.515
45,0.8075,0.505
46,0.81125,0.49625
47,0.81375,0.48875
48,0.81625,0.4825
49,0.8175,0.47625
50,0.81875,0.47125
51,0.82,0.4675
52,0.82125,0.465
53,0.82125,0.46125
54,0.8225,0.45875
55,0.82375,0.455
56,0.82375,0.45125
57,0.825,0.4475
58,0.82625,0.44375
59,0.82625,0.44125
60,0.8275,0.4375
61,0.8275,0.43625
62,0.8275,0.43375
63,0.8275,0.4325
64,0.83,0.43125
65,0.83,0.43
66,0.83,0.43
67,0.83,0.43
68,0.83,0.43
69,0.83,0.42875
70,0.83,0.42875
71,0.83,0.42875
72,0.83,0.42875
73,0.83,0.42875
74,0.83,0.42875
75,0.82875,0.42875
76,0.82625,0.42875
77,0.825,0.42875
78,0.825,0.42875
79,0.82125,0.43125
80,0.81875,0.43125
81,0.8125,0.43375
82,0.80875,0.43625
83,0.80125,0.4375
84,0.795,0.44
85,0.78625,0.44375
86,0.78625,0.44375
87,0.77875,0.4475
88,0.76375,0.46
89,0.75625,0.465
90,0.75625,0.465
91,0.74875,0.4725
92,0.73875,0.48375
93,0.72875,0.4925
94,0.7225,0.4975
95,0.71125,0.50875
96,0.70375,0.5175
97,0.67625,0.545
98,0.665,0.555
99,0.6575,0.56125
100,0.63625,0.5775
101,0.62125,0.59125
102,0.5975,0.61
103,0.55125,0.64125
104,0.54125,0.64875
105,0.53,0.65375
106,0.51625,0.6625
107,0.485,0.6825
108,0.47,0.69125
109,0.45875,0.6975
110,0.44625,0.705
111,0.4325,0.7125
112,0.4325,0.7125
113,0.4025,0.72625
114,0.3875,0.735
115,0.37375,0.74
116,0.37375,0.74
117,0.33625,0.755
118,0.33625,0.755
119,0.28875,0.7675
120,0.26875,0.77125
121,0.26875,0.77125
122,0.22875,0.7725
123,0.2125,0.7725
124,0.19875,0.7725
125,0.19875,0.7725
126,0.1875,0.7725
127,0.18,0.7725
128,0.1725,0.7725
129,0.165,0.7725
130,0.1575,0.7725
131,0.15125,0.7725
132,0.1425,0.7725
133,0.13625,0.7725
134,0.13125,0.7725
135,0.1275,0.7725
136,0.125,0.7725
137,0.1225,0.7725
138,0.12125,0.7725
139,0.12,0.7725
140,0.12,0.7725
141,0.1175,0.7725
142,0.1175,0.7725
143,0.1175,0.7725
144,0.1175,0.7725
145,0.1175,0.7725
146,0.11625,0.7725
147,0.11625,0.7725
148,0.11625,0.7725
149,0.11625,0.7725
150,0.11625,0.7725
151,0.11625,0.7725
152,0.11625,0.7725
153,0.11625,0.77125
154,0.115,0.77
155,0.115,0.76375
156,0.11375,0.76
157,0.1125,0.75375
158,0.10625,0.72375
159,0.10125,0.69875
160,0.09625,0.67375
161,0.09375,0.66
162,0.09,0.64375
163,0.0875,0.63
164,0.085,0.61625
165,0.08375,0.6075
166,0.08125,0.59375
167,0.08,0.58625
168,0.07875,0.57625
169,0.07875,0.57625
170,0.07625,0.55625
171,0.07625,0.55625
172,0.07375,0.54625
173,0.07375,0.5375
174,0.0725,0.5275
175,0.0725,0.52
176,0.0725,0.515
177,0.0725,0.51375
178,0.0725,0.51125
179,0.0725,0.51125
180,0.0725,0.51125
181,0.0725,0.51125
182,0.0725,0.5125
183,0.0725,0.5225
184,0.0725,0.5225
185,0.0725,0.5275
186,0.0725,0.53125
187,0.0725,0.53625
188,0.07375,0.545
189,0.075,0.56
190,0.08,0.585
191,0.0825,0.6125
192,0.085,0.6275
193,0.0875,0.65625
194,0.09125,0.68125
195,0.0925,0.705
196,0.095,0.73
197,0.09625,0.75625
198,0.09875,0.78
199,0.1,0.8
200,0.1,0.81125
201,0.1,0.82125
202,0.1,0.83
203,0.10125,0.8375
204,0.10125,0.84375
205,0.1025,0.84875
206,0.1025,0.8525
207,0.1025,0.855
208,0.10375,0.85625
209,0.10375,0.85625
210,0.10625,0.85625
211,0.11125,0.85625
212,0.1225,0.85125
213,0.1825,0.82625
214,0.23,0.80875
215,0.34375,0.77875
216,0.39875,0.76875
217,0.4525,0.76
